Timestamp,Appliance,Type,Status_ON_OFF,Energy_Consumed_kWh,Outdoor_Temp
2026-02-24 13:00:00,Living_Room_AC,cooling,1,2.729,31.7
2026-02-24 13:00:00,Bedroom_AC,cooling,0,0.0,31.7
2026-02-24 13:00:00,Living_Room_Fan,circulation,1,0.094,31.7
2026-02-24 13:00:00,Kitchen_Lights,lighting,0,0.0,31.7
2026-02-24 13:00:00,TV,entertainment,0,0.0,31.7
2026-02-24 14:00:00,Living_Room_AC,cooling,0,0.0,31.8
2026-02-24 14:00:00,Bedroom_AC,cooling,1,1.87,31.8
2026-02-24 14:00:00,Living_Room_Fan,circulation,1,0.104,31.8
2026-02-24 14:00:00,Kitchen_Lights,lighting,1,0.156,31.8
2026-02-24 14:00:00,TV,entertainment,0,0.0,31.8
2026-02-24 15:00:00,Living_Room_AC,cooling,0,0.0,26.6
2026-02-24 15:00:00,Bedroom_AC,cooling,0,0.0,26.6
2026-02-24 15:00:00,Living_Room_Fan,circulation,1,0.109,26.6
2026-02-24 15:00:00,Kitchen_Lights,lighting,1,0.161,26.6
2026-02-24 15:00:00,TV,entertainment,0,0.0,26.6
2026-02-24 16:00:00,Living_Room_AC,cooling,1,2.506,30.7
2026-02-24 16:00:00,Bedroom_AC,cooling,0,0.0,30.7
2026-02-24 16:00:00,Living_Room_Fan,circulation,0,0.0,30.7
2026-02-24 16:00:00,Kitchen_Lights,lighting,1,0.143,30.7
2026-02-24 16:00:00,TV,entertainment,0,0.0,30.7
2026-02-24 17:00:00,Living_Room_AC,cooling,0,0.0,24.4
2026-02-24 17:00:00,Bedroom_AC,cooling,1,1.987,24.4
2026-02-24 17:00:00,Living_Room_Fan,circulation,1,0.105,24.4
2026-02-24 17:00:00,Kitchen_Lights,lighting,1,0.138,24.4
2026-02-24 17:00:00,TV,entertainment,0,0.0,24.4
2026-02-24 18:00:00,Living_Room_AC,cooling,1,2.502,31.0
2026-02-24 18:00:00,Bedroom_AC,cooling,1,2.117,31.0
2026-02-24 18:00:00,Living_Room_Fan,circulation,0,0.0,31.0
2026-02-24 18:00:00,Kitchen_Lights,lighting,1,0.158,31.0
2026-02-24 18:00:00,TV,entertainment,0,0.0,31.0
2026-02-24 19:00:00,Living_Room_AC,cooling,1,2.687,30.6
2026-02-24 19:00:00,Bedroom_AC,cooling,1,1.892,30.6
2026-02-24 19:00:00,Living_Room_Fan,circulation,1,0.097,30.6
2026-02-24 19:00:00,Kitchen_Lights,lighting,1,0.137,30.6
2026-02-24 19:00:00,TV,entertainment,0,0.0,30.6
2026-02-24 20:00:00,Living_Room_AC,cooling,1,2.334,31.1
2026-02-24 20:00:00,Bedroom_AC,cooling,1,2.152,31.1
2026-02-24 20:00:00,Living_Room_Fan,circulation,1,0.098,31.1
2026-02-24 20:00:00,Kitchen_Lights,lighting,1,0.139,31.1
2026-02-24 20:00:00,TV,entertainment,0,0.0,31.1
2026-02-24 21:00:00,Living_Room_AC,cooling,0,0.0,36.1
2026-02-24 21:00:00,Bedroom_AC,cooling,1,1.804,36.1
2026-02-24 21:00:00,Living_Room_Fan,circulation,1,0.106,36.1
2026-02-24 21:00:00,Kitchen_Lights,lighting,1,0.146,36.1
2026-02-24 21:00:00,TV,entertainment,1,0.302,36.1
2026-02-24 22:00:00,Living_Room_AC,cooling,1,2.261,40.3
2026-02-24 22:00:00,Bedroom_AC,cooling,1,2.174,40.3
2026-02-24 22:00:00,Living_Room_Fan,circulation,0,0.0,40.3
2026-02-24 22:00:00,Kitchen_Lights,lighting,0,0.0,40.3
2026-02-24 22:00:00,TV,entertainment,0,0.0,40.3
2026-02-24 23:00:00,Living_Room_AC,cooling,1,2.325,32.9
2026-02-24 23:00:00,Bedroom_AC,cooling,1,2.097,32.9
2026-02-24 23:00:00,Living_Room_Fan,circulation,1,0.092,32.9
2026-02-24 23:00:00,Kitchen_Lights,lighting,1,0.142,32.9
2026-02-24 23:00:00,TV,entertainment,0,0.0,32.9
2026-02-25 00:00:00,Living_Room_AC,cooling,1,2.466,30.1
2026-02-25 00:00:00,Bedroom_AC,cooling,1,1.823,30.1
2026-02-25 00:00:00,Living_Room_Fan,circulation,0,0.0,30.1
2026-02-25 00:00:00,Kitchen_Lights,lighting,0,0.0,30.1
2026-02-25 00:00:00,TV,entertainment,1,0.28,30.1
2026-02-25 01:00:00,Living_Room_AC,cooling,0,0.0,28.6
2026-02-25 01:00:00,Bedroom_AC,cooling,1,1.957,28.6
2026-02-25 01:00:00,Living_Room_Fan,circulation,1,0.092,28.6
2026-02-25 01:00:00,Kitchen_Lights,lighting,0,0.0,28.6
2026-02-25 01:00:00,TV,entertainment,1,0.298,28.6
2026-02-25 02:00:00,Living_Room_AC,cooling,0,0.0,38.2
2026-02-25 02:00:00,Bedroom_AC,cooling,1,2.002,38.2
2026-02-25 02:00:00,Living_Room_Fan,circulation,1,0.107,38.2
